Altitude(km) sigma_p sigma_h sigma_0 kappa_i kappa_e nu_in nu_en omega_e omega_i
  245.00 0.00001199234282471535 0.00000004660395218487 275.01299213282788969082 256.58581641297570286042 -89373.74422728472563903779 0.74660233779200013693 62.51370182777261419460 5587083.59785609133541584015 191.56757037819664901690
  250.00 0.00001120633019792982 0.00000003864722999015 318.69299983217894123300 289.11236695667059848347 -98364.24423072030185721815 0.66086701166799999285 56.65088021393419381866 5572421.01724870316684246063 191.06482598691712837535
  255.00 0.00001048145058997898 0.00000003214935020976 369.13127603958588451860 325.04560760687490983400 -108345.54354581904772203416 0.58626830989599998389 51.29710393629213882605 5557812.60830394551157951355 190.56393901080096497935
  260.00 0.00000981076520841986 0.00000002681945456109 428.32555798639782551618 364.69337510666844082152 -119712.63149812740448396653 0.52116355920400003754 46.30470444001966257019 5543258.01925777737051248550 190.06489738871078998272
  265.00 0.00000918839672917493 0.00000002243010572400 499.02362679458366301333 408.38772524791033902147 -132986.05209937915788032115 0.46418557008400007646 41.57396066028468339937 5528756.89834615867584943771 189.56768905950926296100
  270.00 0.00000860934890468823 0.00000001880196997389 583.76510269773109484959 456.48888412980375051120 -148537.30384548922302201390 0.41418821048320003664 37.12406986533937214290 5514309.24556908477097749710 189.07231402319624180564
  275.00 0.00000806939098852942 0.00000001579292699417 684.24905305789934573113 509.38616371989718345503 -166465.65089692323817871511 0.37020784548000001957 33.03933576474634037368 5499914.53328049462288618088 188.57875418806571587993
  280.00 0.00000756485495642073 0.00000001328963074679 801.94824480905481323134 567.50055568620666690549 -186800.52828348166076466441 0.33143052930880001483 29.36593815813883523447 5485572.76148038636893033981 188.08700955411759991875
  285.00 0.00000709253040074008 0.00000001120119479426 938.72656177733085769432 631.28751285005171212106 -209657.11979139488539658487 0.29716581469080005640 26.09634046222016579009 5471283.57840471807867288589 187.59706806021449665423
  290.00 0.00000664959837134361 0.00000000945435820856 1096.96604905686035635881 701.24030413332650368829 -235250.21080875143525190651 0.26682567522480005184 23.19677680002504160939 5457046.63228944502770900726 187.10891764521898039675
  295.00 0.00000623359933447996 0.00000000798984024979 1279.52637672168657445582 777.89072825262724109052 -263870.62627799593610689044 0.23990844926040003071 20.62700953080068799750 5442861.92313456907868385315 186.62255830913105114632
  300.00 0.00000584240387605832 0.00000000675948755345 1489.71356675137485581217 861.80883235703504396952 -295869.14274082606425508857 0.21598521498160000442 18.34841138593298026649 5428728.74741200264543294907 186.13796592967588594547
  305.00 0.00000547374797862923 0.00000000572312938013 1731.43234026848926987441 953.67569089671837900823 -331680.19382533751195296645 0.19467325668480001122 16.32490440396069431017 5414647.45688578952103853226 185.65515256799085364037
  310.00 0.00000512654122569359 0.00000000484977624340 2008.79525971252405724954 1054.07026922678028313385 -371741.68831103190314024687 0.17567528418920000388 14.52787652782491356618 5400617.34802784491330385208 185.17409410180115969524
  315.00 0.00000479898483594133 0.00000000411214731038 2326.75109355973290803377 1163.76652661881621497741 -416614.48718850332079455256 0.15870432795239999835 12.92955096522815061633 5386638.24495614320039749146 184.69478450053804863273
  320.00 0.00000448974578210486 0.00000000348828743364 2690.77601474823040916817 1283.55349564196376377367 -466919.01423271594103425741 0.14352126215159999312 11.50672773653820080142 5372709.97178866714239120483 184.21721773363282181890
  325.00 0.00000419763230497184 0.00000000296000303365 3106.97550603960917214863 1414.28532331704514035664 -523354.76769940723897889256 0.12991819314800001628 10.23938800076681765461 5358832.52852541580796241760 183.74139380108553609716
  330.00 0.00000392158446799249 0.00000000251218408924 3581.92679498753750522155 1556.88336836362532267231 -586676.74533001065719872713 0.11771420538280000234 9.11064782128306482889 5345005.21163830067962408066 183.26728858062125482320
  335.00 0.00000366064129978753 0.00000000213222587581 4122.01268956731382786529 1712.34635221037547125889 -657597.85600433638319373131 0.10675112650912001178 8.10712500420951442948 5331228.02112732268869876862 182.79490207223997799701
  340.00 0.00000341393976653646 0.00000000180959771554 4731.27660875681340257870 1881.75353754207799283904 -736477.73419770551845431328 0.09689059943712001466 7.22017860716885362393 5317500.78111046273261308670 182.32422824537303540637
  345.00 0.00000318070170290378 0.00000000153547710761 5406.60864030103584809694 2066.27153392169657308841 -822648.85694824985694140196 0.08801130833192000180 6.44725057466328355105 5303823.31570569705218076706 181.85526106945175683904
  350.00 0.00000296021511744746 0.00000000130245150447 6133.23850972174568596529 2267.16409338300900344620 -913868.15221893752459436655 0.08000655223067999755 5.78879467943158765308 5290195.09726696182042360306 181.38798245276993270636
  355.00 0.00000275181536300055 0.00000000110428592381 6893.17366786507864162559 2485.79392299758137596655 -1007708.07184539642184972763 0.07278253869780000607 5.23625469837836110543 5276616.12579425610601902008 180.92239239532756300832
  360.00 0.00000255485656805942 0.00000000093571673801 7683.35712604368654865539 2723.63892216165595527855 -1104167.36312686861492693424 0.06625638860116001005 4.76656549113996064193 5263086.04952353797852993011 180.45847883598727889876
  365.00 0.00000236872678807569 0.00000000079229876536 8514.34087758424539060798 2982.29126722512091873796 -1205274.46703485120087862015 0.06035501552860000202 4.35552634371121261125 5249604.69257278554141521454 179.99623574418035332201
  370.00 0.00000219283913750443 0.00000000067026336478 9396.93293529020775167737 3263.47724057711138812010 -1313102.79144038539379835129 0.05501360783432000107 3.98763288997066922548 5236171.87905997596681118011 179.53565708933800237901
  375.00 0.00000202661109921781 0.00000000056640967604 10337.04727829050534637645 3569.05964507356065951171 -1429131.67823778605088591576 0.05017476551772000193 3.65451787036244990503 5222787.25722106825560331345 179.07673081032288564529
  380.00 0.00000186941256994655 0.00000000047800474648 11336.04084751134541875217 3901.05135524286743020639 -1554442.09096713969483971596 0.04578751587992000577 3.35133144003636340713 5209450.65117403957992792130 178.61945087656624764350
  385.00 0.00000172033786408701 0.00000000040266258185 12389.81771889357696636580 4261.63168165679053345229 -1689955.35884741554036736488 0.04180647802680000080 3.07473322169927554270 5196161.88503686897456645966 178.16381125749936131797
  390.00 0.00000157720384461712 0.00000000033809499192 13478.44284812685327779036 4653.15321160406710987445 -1836557.46553258760832250118 0.03819126468464000002 2.82208473200403142656 5182920.78292753547430038452 177.70980592255361329990
  395.00 0.00000144049775851434 0.00000000028294358599 14594.75111111001751851290 5078.15488873749927734025 -1995161.91655202116817235947 0.03490587165896000266 2.59113155187733346096 5169726.99308199342340230942 177.25742281059143579114
  400.00 0.00000131107825995551 0.00000000023607789966 15736.06141366938027204014 5539.38513453616724291351 -2166735.25830852286890149117 0.03191810021624000293 2.37988473393917221443 5156580.16373620275408029556 176.80664986047551678894
  405.00 0.00000118949132168971 0.00000000019643632421 16899.70838299960450967774 6039.80543478446179506136 -2352312.26129199052229523659 0.02919920103503599942 2.18656364438076922241 5143480.47077218350023031235 176.35749310277449808382
  410.00 0.00000107604910707379 0.00000000016304674139 18083.50590192324307281524 6582.61940030438017856795 -2553005.70564122637733817101 0.02672339440400400487 2.00956361954361018007 5130427.38654387090355157852 175.90993444578228377395
  415.00 0.00000097086289535318 0.00000000013503148805 19285.77800865521203377284 7171.28608574528516328428 -2770015.52618015278130769730 0.02446757412708400192 1.84743401713281429899 5117420.91105126589536666870 175.46397388949884543763
  420.00 0.00000087387711912784 0.00000000011160776771 20505.36063477152129053138 7809.54392306652516708709 -3004632.52768217958509922028 0.02241098776911600032 1.69886349482675824696 5104460.51664830371737480164 175.01959334221808717302
  425.00 0.00000078490291293769 0.00000000009208517231 21741.60717884010227862746 8501.42237244086209102534 -3258247.75247629452496767044 0.02053501063544800262 1.56266397340330831511 5091546.37921700533479452133 174.57679883450870761408
  430.00 0.00000070364725976322 0.00000000007586031402 22994.35220461596327368170 9251.27207218647163244896 -3532358.06241808738559484482 0.01882287872585600152 1.43775854015056459012 5078677.97111130598932504654 174.13557227466449717213
  435.00 0.00000062974065471241 0.00000000006241035074 24263.96335544858447974548 10063.80057941570339608006 -3828582.26669639442116022110 0.01725947431702800142 1.32316736681236535311 5065855.11644918564707040787 173.69590763211687090006
  440.00 0.00000056276157244464 0.00000000005128592554 25551.17419929627430974506 10944.07510755846851679962 -4148655.37510569766163825989 0.01583119607399600254 1.21800371023102393941 5053077.63934862054884433746 173.25779887629698805540
  445.00 0.00000050225636937281 0.00000000004210329643 26857.17135346538998419419 11897.56755648157923133112 -4494450.84039157722145318985 0.01452576295001200071 1.12145971083098427989 5040345.53980961255729198456 172.82124600720496232498
